word,business,entertainment,sport,tech,politics
final cut,0,1,0,0,0
final score,0,0,1,0,0
finance,1,0,0,0,0
financial,1,0,0,0,0
financial services authority,1,0,0,0,0
financial year,1,0,0,0,0
fire,1,0,0,0,0
firewall,0,0,0,1,0
firewalls,0,0,0,1,0
fireworks,0,1,0,0,0
firmware,0,0,0,1,0
first past the post,0,0,0,0,1
fiscal,0,0,0,0,1
fiscal policy,1,0,0,0,0
fiscal year,1,0,0,0,0
fitness,0,0,1,0,0
fixed costs,1,0,0,0,0
fixed-rate mortgage,1,0,0,0,0
flexible mortgage,1,0,0,0,0
flick,0,1,0,0,0
floor show,0,1,0,0,0
football,0,0,1,0,0
foreign aid,0,0,0,0,1
foreign exchange (forex),1,0,0,0,0
foreign policy,0,0,0,0,1
foreign relations,0,0,0,0,1
foreman,1,0,0,0,0
formula 1,0,0,1,0,0
forward,0,0,1,0,0
foul,0,0,1,0,0
frame,0,0,0,1,0
framework,1,0,0,0,0
frameworks,0,0,0,1,0
fray,0,0,0,0,1
free throw,0,0,1,0,0
freehold,1,0,0,0,0
freight,1,0,0,0,0
frisbee,0,0,1,0,0
front end,0,0,0,1,0
ftse 100 index,1,0,0,0,0
ftse 250,1,0,0,0,0
ftse 350,1,0,0,0,0
ftse all-share,1,0,0,0,0
ftse smallcap,1,0,0,0,0
ftse techmark,1,0,0,0,0
ftse4good,1,0,0,0,0
fun,0,0,1,0,0
funambulism,0,1,0,0,0
function,0,0,0,1,0
fund,1,0,0,0,0
fundraising,0,0,0,0,1
furor,0,0,0,0,1
futures,1,0,0,0,0
g7,1,0,0,0,0
g8,1,0,0,0,0
gain,0,0,0,0,1
gala,0,1,0,0,0
galanty show,0,1,0,0,0
gallery,0,1,0,0,0
game,0,0,1,0,0
games,0,0,1,0,0
garden party,0,1,0,0,0
gaudy,0,1,0,0,0
gazumping,1,0,0,0,0
gazundering,1,0,0,0,0
gdp,1,0,0,0,0
gear,0,0,1,0,0
gearing,1,0,0,0,0
geocaching,0,0,1,0,0
geopolitics,0,0,0,0,1
gig,0,1,0,0,0
